ID,SQ2,SQ3,Q1_3,Q1_4,Q1_5,Q2,Q3_1_1,Q3_1_2,Q3_1_3,Q3_1_4,Q3_1_5,Q3_1_6,Q3_1_7,Q3_1_8,Q3_2_1,Q3_2_2,Q3_2_3,Q3_2_4,Q3_2_5,Q3_2_6,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q6,Q6_1,Q6_2,Q7_1,Q7_1_1,Q7_1_2,Q7_2,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10,Q10_1,Q11,Q12_1,Q12_2,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_19,Q13_20,Q14,Q14_1,Q14_2_1,Q14_2_2,Q14_2_3,Q15_1_1,Q15_1_2,Q15_1_3,Q15_1_4,Q15_1_5,Q15_1_6,Q15_1_7,Q15_2_1,Q15_2_2,Q15_2_3,Q15_2_4,Q15_2_5,Q15_2_6,Q15_2_7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2_1,Q18_2_2,Q18_3_1,Q18_3_2,Q18_3_3,Q18_3_4,Q19_1,Q19_2,Q19_2_1,Q19_3,Q20_1,Q20_2,Q20_2_1,Q20_3,Q21_1,Q21_2,Q22,Q23_1,Q23_2,Q24_1,Q24_2,Q25,Q25_1,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26T,Q26_1_1,Q26_1_2,Q26_1_3,Q26_1_4,Q26_1_5,Q26_1_6,Q26_1_7,Q26_1_8,Q27_1_1,Q27_1_2,Q27_1_3,Q27_2_1,Q27_2_2,Q27_2_3,Q27_3_1,Q27_3_2,Q27_3_3,Q27_4_1,Q27_4_2,Q27_4_3,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q30_1,Q31,Q31_1,Q32,Q32_1,Q33,Q33_1,Q34,code2,WT2
360,3,9,4,2,4,1,3,5,,,,,,,,,,,,,240,144,110,30,2,1,3,2,,,,,2,1,2,1,2,2,1,3,2,2,2,2,2,3,4,2,1,2,2,4,4,4,1,2,2,4,2,4,2,3,3,,1,1,5,1,3,2,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,1,50,50,90,10,0,0,1,2,,,1,1,2,3,1,4,1,5,5,,,212754,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,23,56,10,2,4,2,3,0,,,,,,,,,,,,,6,8,9,1,6,7,,,,,,,,1,3,1,3,3,3,3,2,3,41,0.654072814
361,2,9,2,1,3,1,3,,,,,,,,,,,,,,140,80,40,5,2,1,2,2,,,,,2,0,2,0,1,1,2,2,2,2,3,2,2,1,3,1,1,3,1,4,4,4,1,1,1,1,1,4,3,3,2,,3,1,5,1,3,3,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,3,4,4,4,4,5,5,5,5,1,50,50,50,50,0,0,1,2,,,3,,,,3,,2,,,5,5,26100,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,24,37,11,2,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,2,,,,,,,,,2,,2,,3,3,3,3,1,41,0.880355226
362,1,1,1,3,4,3,8,,,,,,,,,,,,,,5,3,0,0,2,1,1,2,,,,,1,0,1,0,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,,1,1,5,3,3,3,3,3,3,3,3,4,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,100,0,0,100,0,0,2,,,,3,,,,2,,1,5,5,,,9510,,1677,44,125,320,0,40,0,0,2206,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,1,3,6,,,,,,,,2,,2,,4,3,4,2,2,41,1.274212377
363,2,1,4,2,2,7,,,,,,,,,1,5,,,,,50,5,17,0,2,1,5,2,,,,,2,0,2,2,2,2,1,13,2,1,3,3,3,4,3,4,1,3,3,3,3,3,2,3,3,4,3,4,3,4,3,,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,1,100,0,0,100,0,0,2,,,,1,1,2,3,1,3,1,5,4,,,112522,,13035,14430,8549,3534,1055,713,0,0,41316,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,1,2,,,,,,,,,1,5,2,,4,4,3,2,1,41,0.654072814
364,2,1,2,3,1,3,1,,,,,,,,,,,,,,12,6,0,0,2,1,2,2,,,,,2,0,2,0,1,2,1,1,2,2,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,90,10,0,1,2,,,1,2,,,2,,1,5,5,,,25165,,1500,50,50,50,20,0,0,0,1670,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,1,3,7,,,,,,,,2,,1,3,3,3,3,3,4,41,0.880355226
365,2,9,4,2,2,1,3,,,,,,,,,,,,,,160,72,62,4,1,1,2,2,,,,,2,0,2,0,2,2,1,8,1,1,1,1,1,1,2,1,1,2,1,2,3,3,1,1,1,1,1,2,2,2,3,,1,1,5,1,3,2,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,4,3,4,3,1,90,10,0,100,0,0,1,2,,,1,2,,,1,3,1,4,4,,,172124,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,172124,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,1,7,,,,,,,,,2,,2,,4,3,3,3,1,41,0.654072814
366,3,1,4,3,4,2,3,4,5,,,,,,,,,,,,193,90,55,10,2,1,3,2,,,,,2,1,2,1,1,2,2,25,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,,1,1,5,2,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,1,90,10,20,70,10,0,1,1,4,3,1,1,4,3,1,3,1,4,4,,,142323,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,35,45,10,3,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8,3,7,8,9,,,,,,,,2,,2,,3,2,4,2,1,41,0.654072814
367,4,1,5,3,3,5,3,5,,,,,,,,,,,,,370,120,100,10,1,1,6,2,,,,,4,2,4,2,2,2,1,24,2,1,3,2,2,1,3,1,1,2,2,2,2,2,1,2,2,2,1,3,3,2,1,5,,,,3,4,3,3,2,2,2,3,4,3,3,3,3,3,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,1,70,30,10,20,70,0,1,1,15,3,1,1,18,3,1,3,1,4,4,,,367395,,77838,85776,23995,6340,3910,1886,0,0,199745,999,999,999,999,999,999,999,999,0,0,0,0,0,0,2,0,0,0,0,0,6,3,9,1,7,9,,,,,,,,2,,2,,4,3,3,3,3,41,0.571942888
368,1,9,1,3,3,3,3,,,,,,,,,,,,,,30,16,10,6,2,1,999,2,,,,,999,999,999,999,1,3,,1,2,2,3,4,3,2,4,2,1,4,2,3,4,3,1,1,2,1,1,4,3,2,2,,1,2,4,1,3,3,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,5,4,4,4,5,5,5,5,1,100,0,0,100,0,0,1,2,,,3,,,,3,,1,5,5,,,18500,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,30,45,15,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,1,2,4,,,,,,,,2,,1,4,3,3,3,4,1,41,1.274212377
369,1,1,1,3,1,1,1,,,,,,,,,,,,,,10,5,0,0,1,1,1,2,,,,,1,1,0,0,1,3,,1,2,2,3,2,2,2,2,3,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,,,,1,3,3,4,1,1,1,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,1,100,0,0,100,0,0,1,2,,,3,,,,3,,1,4,4,,,8700,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,50,40,2,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,1,2,4,,,,,,,,2,,1,5,3,3,3,3,1,41,1.274212377
370,2,1,2,3,2,3,3,,,,,,,,,,,,,,20,3,0,1,2,1,1,2,,,,,1,1,1,0,1,2,2,1,2,2,4,4,4,3,4,3,1,4,3,3,4,3,1,1,1,1,2,2,3,2,2,,1,2,5,1,3,3,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,2,,,,3,,,,3,,1,4,4,,,9999998,6,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,35,50,5,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,1,2,,,,,,,,,2,,1,4,3,3,3,3,1,41,0.880355226
371,2,9,2,2,5,1,3,,,,,,,,,,,,,,110,30,60,3,2,1,1,2,,,,,1,1,1,0,2,3,,1,2,2,3,3,2,2,4,4,1,4,2,4,4,4,1,2,4,1,1,4,3,4,3,,1,1,4,3,3,2,2,1,1,1,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,5,5,5,3,3,4,4,2,3,3,4,4,1,100,0,0,100,0,0,1,2,,,3,,,,3,,2,,,5,5,9999998,6,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,18,10,60,5,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,8,2,7,,,,,,,,,1,4,2,,2,,3,3,1,41,0.880355226
372,2,1,3,2,4,3,4,,,,,,,,,,,,,,115,80,5,2,2,1,1,2,,,,,1,0,1,0,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,2,,,,2,,,,2,,1,5,5,,,51293,,6993,36499,2118,1873,1091,1575,0,0,50149,999,999,999,999,999,999,999,999,0,0,0,0,0,0,1,0,1,0,0,0,5,3,6,2,3,6,,,,,,,,1,5,1,5,4,4,4,4,1,42,0.850521373
373,2,1,4,3,5,2,4,5,,,,,,,,,,,,,150,60,0,6,2,1,3,3,,,,,2,1,2,1,1,2,1,9,1,1,3,3,3,2,2,1,1,3,2,2,3,3,1,3,2,2,3,3,2,4,3,,1,1,5,2,3,3,3,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,4,4,4,5,3,1,100,0,60,40,0,0,1,2,,,1,2,,,1,4,1,5,5,,,122308,,32889,48460,7210,3955,2170,1527,0,0,96211,999,999,999,999,999,999,999,999,2,0,0,0,0,0,3,0,0,0,0,0,5,9,8,4,,,,,,,,,,1,5,1,5,4,4,4,4,1,41,0.654072814
374,1,9,1,3,3,3,3,,,,,,,,,,,,,,30,28,22,0,2,1,1,2,,,,,1,0,1,0,2,2,1,1,2,2,1,1,1,2,3,1,1,1,1,1,3,3,1,1,1,1,1,3,1,1,3,,1,1,5,1,2,2,2,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,100,0,0,100,0,0,1,2,,,1,2,,,1,4,1,5,5,,,12870,,900,287,528,0,0,0,0,0,1715,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,2,4,,,,,,,,,1,4,1,4,3,3,3,3,1,41,1.274212377
375,1,9,1,3,2,1,3,,,,,,,,,,,,,,25,24,10,0,2,1,1,2,,,,,1,0,1,0,2,2,1,1,2,2,3,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,3,,1,1,5,1,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,100,0,0,100,0,0,2,,,,1,2,,,1,4,1,5,5,,,12000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,12645,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,8,,4,,,,,,,,,,2,,1,5,4,4,4,4,3,41,1.274212377
376,1,9,1,2,1,5,1,,,,,,,,,,,,,,4,1,0,1,2,1,1,2,,,,,1,0,0,0,2,4,,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,,1,1,5,1,1,1,1,1,1,1,5,3,3,5,1,1,1,5,5,5,5,3,3,4,4,4,4,4,4,5,5,5,4,3,4,5,5,5,5,1,100,0,0,100,0,0,1,2,,,1,2,,,4,,1,5,5,,,20000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20442,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,4,7,,,,,,,,2,,2,,3,3,3,4,1,41,1.274212377
377,2,9,2,3,2,3,4,,,,,,,,,,,,,,20,15,1,1,2,1,1,2,,,,,1,0,1,0,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,1,1,5,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,100,0,0,100,0,0,1,2,,,1,2,,,1,3,1,4,4,,,20900,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,20936,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,6,4,,2,4,,,,,,,,,1,4,1,5,4,4,4,4,3,42,1.273550064
378,2,9,3,2,5,5,3,,,,,,,,,,,,,,80,10,30,1,1,1,2,1,,,,,2,0,2,0,2,2,1,6,1,1,3,3,1,1,4,4,1,3,3,4,5,4,3,1,1,4,1,1,4,5,3,,3,1,5,3,3,4,2,1,1,1,4,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,5,2,5,4,5,2,4,2,4,4,1,80,20,100,0,0,0,1,2,,,1,2,,,1,3,1,4,4,,,76603,,13771,9264,2550,2025,405,974,0,0,28989,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,10,,,,,,,,,,1,4,1,4,3,3,4,2,3,41,0.687529472
379,2,9,2,1,6,3,4,,,,,,,,,,,,,,15,5,0,0,2,1,1,2,,,,,1,0,1,0,1,2,1,999,2,2,2,1,2,1,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,3,,1,1,5,2,2,1,1,1,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,1,100,0,0,100,0,0,1,2,,,1,2,,,1,4,1,5,5,,,30300,,7836,11347,3879,730,798,704,800,491,26585,999,999,999,999,999,999,999,999,0,0,0,0,0,0,2,0,0,0,0,0,2,1,5,4,,,,,,,,,,2,,1,5,4,4,4,4,3,41,0.880355226
380,2,9,2,3,2,3,3,,,,,,,,,,,,,,70,10,20,2,2,1,1,2,,,,,1,0,1,0,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,3,3,,1,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,2,,,,1,2,,,1,4,1,5,5,,,29423,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,29512,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,1,6,,,,,,,,,1,5,1,5,4,4,3,4,1,42,1.273550064
381,1,9,1,3,4,4,3,,,,,,,,,,,,,,25,8,10,0,2,1,1,2,,,,,1,0,1,0,2,2,1,1,2,2,3,3,2,1,4,1,1,4,1,3,2,3,1,1,1,3,3,2,1,1,3,,1,1,4,3,3,3,2,1,1,1,4,4,4,3,3,3,3,5,4,4,3,4,3,3,3,3,3,4,4,4,3,4,3,4,2,3,3,4,4,1,100,0,0,100,0,0,1,2,,,1,2,,,1,4,1,5,5,,,12224,,6300,3000,1524,1000,200,200,0,0,12224,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,1,2,3,7,,,,,,,2,,1,5,4,4,4,3,1,42,2.268002547
382,2,9,2,3,6,1,4,,,,,,,,,,,,,,50,45,35,0,2,1,1,2,,,,,1,0,0,0,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,1,2,,,3,,,,1,4,1,5,5,,,27800,,18000,2500,5000,0,1800,0,0,0,27300,999,999,999,999,999,999,999,999,3,0,0,0,0,0,0,0,0,0,0,0,5,3,6,10,,,,,,,,,,1,4,2,,3,3,4,4,1,41,0.880355226
383,2,4,3,3,1,1,1,,,,,,,,,,,,,,15,10,0,0,2,2,,,1,1,1,,1,0,0,0,1,1,2,1,2,1,3,3,3,3,4,4,1,2,2,3,4,4,1,1,1,1,1,1,3,3,2,,1,1,5,1,3,2,3,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,100,0,0,100,0,0,1,2,,,3,,,,1,4,3,,,,,40000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,44600,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,8,6,,1,2,3,4,,,,,,,2,,1,4,3,3,3,3,1,41,0.687529472
384,2,9,2,1,3,1,3,,,,,,,,,,,,,,56,25,10,1,1,1,1,2,,,,,1,0,0,0,1,2,3,1,2,2,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,,3,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,50,50,50,50,0,0,1,2,,,1,2,,,1,4,1,5,5,,,28792,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,28788,999,999,999,999,999,999,999,999,0,0,1,0,0,0,0,0,0,0,0,0,3,4,6,2,8,,,,,,,,,1,5,1,5,4,4,4,4,4,41,0.880355226
385,4,9,5,3,4,3,3,4,5,,,,,,,,,,,,360,15,200,20,1,1,5,2,,,,,4,1,4,1,1,1,1,44,1,1,1,3,2,4,3,2,1,2,2,4,3,2,1,2,2,4,1,3,3,4,3,,1,1,5,4,4,5,3,2,1,1,4,5,5,5,5,5,5,5,5,5,4,3,5,4,5,4,5,5,5,4,5,4,3,4,3,3,4,4,5,1,100,0,0,80,20,0,1,2,,,1,1,89,4,1,4,1,5,5,,,334363,,79410,104800,26448,6113,8121,6066,2750,265,233973,999,999,999,999,999,999,999,999,0,0,1,0,0,0,4,0,0,0,0,0,5,3,4,1,4,,,,,,,,,1,5,1,5,4,4,4,4,3,41,0.571942888
386,1,9,1,3,1,1,2,,,,,,,,,,,,,,10,1,0,0,2,2,,,1,1,1,,0,0,0,0,2,3,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,100,0,0,2,,,,3,,,,1,3,1,5,5,,,6790,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,6795,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,2,3,6,,,,,,,,2,,1,4,4,3,3,3,1,41,1.274212377
387,2,9,3,3,4,3,4,,,,,,,,,,,,,,35,20,5,3,2,1,1,2,,,,,1,0,0,0,1,4,,1,2,2,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,1,5,1,1,1,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,1,100,0,0,100,0,0,1,2,,,3,,,,4,,1,5,5,,,6362,,3356,1826,500,350,0,0,0,330,6362,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,6,,1,6,,,,,,,,,1,4,1,4,3,3,3,4,1,41,0.687529472
388,1,9,1,3,3,2,3,,,,,,,,,,,,,,40,35,20,0,2,2,,,2,,,1,,,,,1,4,,3,2,2,4,4,4,4,4,2,2,3,3,3,4,3,1,1,1,1,1,3,1,1,2,,3,1,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,4,5,5,1,50,50,0,100,0,0,1,2,,,3,,,,1,3,1,5,5,,,15000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,50,20,10,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,2,4,,,,,,,,,2,,1,4,3,3,3,3,1,41,1.274212377
389,2,9,2,3,2,3,3,,,,,,,,,,,,,,40,20,10,0,2,1,1,2,,,,,1,1,0,0,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,3,,1,1,5,1,2,2,1,1,2,2,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4,4,1,100,0,0,100,0,0,1,2,,,3,,,,1,3,1,4,4,,,28000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,28000,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,4,,7,,,,,,,,,,2,,1,4,4,4,4,3,1,41,0.880355226
390,2,9,2,3,6,5,4,5,8,,,,,,,,,,,,150,75,80,5,1,1,1,2,,,,,1,0,1,0,1,2,1,7,2,1,2,1,1,2,3,1,1,4,1,1,3,3,1,2,1,1,1,3,2,1,3,,3,1,5,4,5,4,4,2,3,2,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,3,4,4,5,5,1,60,40,10,50,40,0,1,2,,,4,,,,4,,1,5,5,,,38341,,18801,10096,3973,3000,617,608,0,0,37095,999,999,999,999,999,999,999,999,2,0,0,0,0,0,3,0,0,0,0,0,5,4,9,2,7,9,,,,,,,,1,4,1,5,4,4,4,4,1,41,0.880355226
391,2,9,2,3,2,3,3,,,,,,,,,,,,,,30,12,18,0,2,1,2,2,,,,,1,0,1,0,2,2,1,999,2,2,3,2,4,4,4,4,2,4,3,4,2,3,1,1,1,1,1,3,2,1,3,,1,1,5,2,2,3,2,1,1,1,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,4,4,4,5,5,4,4,4,4,5,5,1,100,0,0,100,0,0,2,,,,1,2,,,1,3,1,5,5,,,24000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,24190,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,1,2,4,,,,,,,,1,5,1,5,4,3,3,3,3,41,0.880355226
392,2,9,3,3,6,3,8,,,,,,,,,,,,,,30,15,7,15,2,1,2,2,,,,,1,0,1,1,2,2,1,7,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,3,,1,1,5,2,1,2,2,1,2,2,5,5,4,4,5,5,5,5,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,5,5,4,5,5,5,1,100,0,0,100,0,0,2,,,,1,2,,,1,4,1,5,5,,,43000,,18000,12500,8000,3000,1500,0,0,0,43000,999,999,999,999,999,999,999,999,0,0,0,0,0,0,1,0,0,0,0,0,6,2,8,2,3,5,,,,,,,,2,,1,5,4,3,3,2,2,41,0.687529472
393,2,9,4,1,2,5,3,,,,,,,,,,,,,,90,35,20,3,1,1,2,2,,,,,2,0,2,0,2,2,1,4,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,3,2,3,3,,3,1,5,4,3,4,3,1,1,1,4,3,3,3,5,5,5,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,2,4,2,3,3,3,3,1,65,35,0,75,25,0,1,2,,,1,2,,,1,4,1,4,4,,,1114271,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,36522,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,10,,,,,,,,,,1,4,1,4,4,3,4,3,3,41,0.654072814
394,1,9,1,5,2,5,3,,,,,,,,,,,,,,4,1,0,0,2,1,1,2,,,,,1,1,999,999,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,3,2,2,3,,3,1,5,4,3,4,3,2,1,1,4,3,4,4,5,5,5,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,2,3,3,3,3,3,1,65,35,0,100,0,0,1,2,,,1,2,,,1,3,1,4,4,,,9999998,99,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,35,27,10,4,1,5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,10,,,,,,,,,,1,4,1,4,3,3,4,3,3,42,2.268002547
395,4,9,5,3,3,1,3,,,,,,,,,,,,,,300,200,120,5,1,1,999,2,,,,,4,1,999,999,1,2,1,999,2,1,4,3,3,2,5,4,2,5,4,4,4,4,1,1,4,2,1,4,3,1,3,,1,1,4,3,5,3,5,2,2,2,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,5,4,4,4,4,4,5,4,5,4,4,4,5,4,1,100,0,0,100,0,0,1,2,,,1,2,,,1,4,1,5,5,,,3218514,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,78974,999,999,999,999,999,999,999,999,0,0,0,0,0,0,4,0,0,0,0,0,3,7,9,1,2,4,5,6,7,,,,,1,4,1,4,3,3,3,4,2,41,0.571942888
396,2,1,2,3,4,3,4,,,,,,,,,,,,,,50,27,10,3,2,1,1,2,,,,,1,0,1,0,1,2,1,6,2,2,3,2,2,2,3,1,1,3,3,3,3,3,1,2,3,2,1,2,2,2,2,,1,1,5,2,3,3,3,2,2,1,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,90,10,10,90,0,0,1,2,,,1,2,,,1,3,1,3,3,,,36531,,9736,3829,5820,644,199,53,0,0,20281,999,999,999,999,999,999,999,999,2,0,0,0,0,0,2,0,0,0,0,0,4,5,2,1,7,,,,,,,,,1,4,1,4,4,3,4,4,2,41,0.880355226
